candidate,predictions,mean_daily_rank_ic,positive_score_hit_rate,total_return,sharpe,max_drawdown,mean_daily_turnover
momentum_contrarian_return_ridge_top_1_14d,17719,0.0030800741,0.475669,0.3814573138,0.6922063594,-0.8139164508,0.0736497545
flow_sign_ridge_top_2_7d,17719,0.0093094688,0.467105,0.4921500903,0.6900150888,-0.6731962553,0.2225859247
funding_premium_rank_ridge_top_1_1d,17719,0.0243051047,0.484606,0.2669427047,0.6434292946,-0.7683845627,1.3240589198
structure_return_ridge_top_3_14d,17719,-0.0050225179,0.478192,0.3726268831,0.6409938428,-0.7359546038,0.1216584834
flow_sign_ridge_top_3_7d,17719,0.0093094688,0.467105,0.3939176465,0.6356073223,-0.7090800049,0.2220403710
flow_return_ridge_top_1_3d,17719,0.0041863538,0.473689,0.1836383004,0.6220914532,-0.7634025122,0.5810147300
flow_contrarian_return_ridge_top_1_7d,17719,-0.0041863538,0.479762,0.2937668188,0.6195461677,-0.5977814374,0.2307692308
all_rank_ridge_top_1_7d,17719,0.0541256023,0.484108,0.3581729476,0.6053711231,-0.4569573155,0.1751227496
flow_return_ridge_top_3_7d,17719,0.0041863538,0.473689,0.3122762860,0.5972245497,-0.6654160043,0.2471358429
all_rank_ridge_top_1_1d,17719,0.0541256023,0.484108,0.3533578009,0.5959325037,-0.6069711907,1.1603927987
flow_return_ridge_top_2_7d,17719,0.0041863538,0.473689,0.2789498698,0.5954075814,-0.7849674725,0.2618657938
