timestamp,close,volume,funding_rate,open_interest
2024-05-25T00:00:00+00:00,69265.9453125,15473071741.0,0.0001,72347.36
2024-05-26T00:00:00+00:00,68518.09375,15628433737.0,0.0001,71075.227
2024-05-27T00:00:00+00:00,69394.5546875,25870990717.0,0.0001,71580.708
2024-05-28T00:00:00+00:00,68296.21875,32722265965.0,0.0001,71880.384
2024-05-29T00:00:00+00:00,67578.09375,26707072906.0,0.00012558,76232.589
2024-05-30T00:00:00+00:00,68364.9921875,29509712534.0,0.0001,74250.547
2024-05-31T00:00:00+00:00,67491.4140625,27387283769.0,0.0001,76516.484
2024-06-01T00:00:00+00:00,67706.9375,11641495604.0,0.0001025,75471.872
2024-06-02T00:00:00+00:00,67751.6015625,17110588415.0,0.0001,76090.207
2024-06-03T00:00:00+00:00,68804.78125,32401285324.0,0.0001,78537.52
2024-06-04T00:00:00+00:00,70567.765625,33149696545.0,0.0001,81171.017
2024-06-05T00:00:00+00:00,71082.8203125,32810771409.0,0.00013226,82454.506
2024-06-06T00:00:00+00:00,70757.1640625,25223152007.0,0.0001177,81918.049
2024-06-07T00:00:00+00:00,69342.5859375,36188381096.0,0.00010166,82372.639
2024-06-08T00:00:00+00:00,69305.7734375,14262185861.0,0.0001,83482.286
2024-06-09T00:00:00+00:00,69647.9921875,13534028500.0,0.0001,83577.764
2024-06-10T00:00:00+00:00,69512.28125,20597699541.0,0.0001,85572.685
2024-06-11T00:00:00+00:00,67332.03125,37116136345.0,0.0001,82672.343
2024-06-12T00:00:00+00:00,68241.1875,34497940694.0,0.0001,81189.437
2024-06-13T00:00:00+00:00,66756.3984375,28955204146.0,0.0001,82145.939
2024-06-14T00:00:00+00:00,66011.09375,27403884779.0,0.0001,79378.435
2024-06-15T00:00:00+00:00,66191.0,14121265576.0,0.0001,80508.054
2024-06-16T00:00:00+00:00,66639.046875,13281140541.0,0.0001,80884.799
2024-06-17T00:00:00+00:00,66490.296875,30006354476.0,0.0001,79602.371
2024-06-18T00:00:00+00:00,65140.74609375,39481285950.0,0.0001,77688.615
2024-06-19T00:00:00+00:00,64960.296875,21103423504.0,2.967e-05,75443.813
2024-06-20T00:00:00+00:00,64828.65625,25641109124.0,6.879e-05,74377.632
2024-06-21T00:00:00+00:00,64096.19921875,26188171739.0,0.0001,76738.134
2024-06-22T00:00:00+00:00,64252.578125,9858198793.0,0.0001,78036.856
2024-06-23T00:00:00+00:00,63180.796875,11170471802.0,4.676e-05,77593.986
2024-06-24T00:00:00+00:00,60277.4140625,43152133651.0,7.488e-05,76111.899
2024-06-25T00:00:00+00:00,61804.640625,29201215431.0,7.752e-05,75584.461
2024-06-26T00:00:00+00:00,60811.27734375,22506003064.0,0.0001,74876.9
2024-06-27T00:00:00+00:00,61604.80078125,21231745045.0,0.0001,74906.653
2024-06-28T00:00:00+00:00,60320.13671875,24952866877.0,0.0001,78522.055
2024-06-29T00:00:00+00:00,60887.37890625,12652903396.0,0.0001,80535.814
2024-06-30T00:00:00+00:00,62678.29296875,17333226409.0,0.0001,85675.692
