timestamp,symbol,name,peg_type,peg_mechanism,current_supply_usd,day_change_usd,week_change_usd,month_change_usd,price
2026-06-08T15:11:40.503707+00:00,USDRIF,RIF US Dollar,peggedUSD,crypto-backed,2237763.09,-983.20,7301.86,669925.27,0.98320313
2026-06-08T15:11:40.503707+00:00,VAI,Vai,peggedUSD,crypto-backed,2408607.72,0.00,6617.76,7694.00,0.99848715
2026-06-08T15:11:40.503707+00:00,dUSD,dTRINITY USD,peggedUSD,crypto-backed,1445441.64,0.00,6343.49,-26200.45,0.99885314
2026-06-08T15:11:40.503707+00:00,USE,USE,peggedUSD,algorithmic,134675.48,-511.83,-6115.13,-12397.96,0.99967417
2026-06-08T15:11:40.503707+00:00,DUSD,StandX DUSD,peggedUSD,crypto-backed,100286779.23,18637.37,5883.82,261949.34,0.99593761
2026-06-08T15:11:40.503707+00:00,rUSD,rUSD,peggedUSD,crypto-backed,289080.85,0.00,-5537.80,-75831.92,0.00000000
2026-06-08T15:11:40.503707+00:00,D,Saga Dollar,peggedUSD,crypto-backed,10386517.57,0.00,-5004.59,-8315.12,0.99967417
2026-06-08T15:11:40.503707+00:00,USDH,USDH,peggedUSD,crypto-backed,1227598.46,26.44,-4852.77,-4443.69,0.99898161
2026-06-08T15:11:40.503707+00:00,USC,Classic USD,peggedUSD,fiat-backed,14025.67,0.00,-4850.24,-4756.99,0.00000000
2026-06-08T15:11:40.503707+00:00,STAR,STAR,peggedUSD,crypto-backed,80825.89,0.00,-4618.56,-4904.34,0.00000000
2026-06-08T15:11:40.503707+00:00,GGUSD,Good Game US Dollar,peggedUSD,crypto-backed,549766.08,-512.30,4228.80,-1338.68,0.99915076
2026-06-08T15:11:40.503707+00:00,mantraUSD,mantraUSD,peggedUSD,crypto-backed,460360.80,0.00,3936.39,11801.02,0.99967417
2026-06-08T15:11:40.503707+00:00,CASH,Opus CASH,peggedUSD,crypto-backed,319592.26,150.76,-3592.18,12700.39,0.99805740
2026-06-08T15:11:40.503707+00:00,BUCK,Bucket Protocol BUCK Stablecoin,peggedUSD,crypto-backed,26000845.38,-24.93,-3428.47,-5094.86,1.00128162
2026-06-08T15:11:40.503707+00:00,BREAD,Bread,peggedUSD,crypto-backed,406928.96,-579.07,-3372.95,-7856.25,0.99963791
2026-06-08T15:11:40.503707+00:00,BYC,Bytecash,peggedUSD,crypto-backed,54599.66,-1335.17,-2969.26,-861.90,0.99967417
