asset,observations,dominant_long_venue,dominant_short_venue,mean_annualized_spread,mean_net_8h_proxy,min_net_8h_proxy,max_net_8h_proxy,positive_net_8h_rate,mean_net_24h_proxy,mean_breakeven_hold_hours,mean_capacity_proxy_notional
IP,6,OkxSwap,HlPerp,0.30593290,-0.00162034,-0.00194633,-0.00134592,0.00000000,-0.00106155,54.4441,3315.90538706
XLM,6,OkxSwap,HlPerp,0.20792188,-0.00162805,-0.00201439,-0.00147043,0.00000000,-0.00124829,76.5679,103414.99988200
XPL,6,OkxSwap,HlPerp,0.39161590,-0.00164075,-0.00196165,-0.00132365,0.00000000,-0.00092547,44.6962,77684.57472929
LDO,6,OkxSwap,HlPerp,0.18284643,-0.00166699,-0.00195049,-0.00145904,0.00000000,-0.00133303,87.8356,5998.80707144
BERA,6,OkxSwap,HlPerp,0.18924900,-0.00174742,-0.00207723,-0.00152986,0.00000000,-0.00140176,88.9143,2848.20334957
ICP,6,OkxSwap,HlPerp,0.00000000,-0.00174952,-0.00199221,-0.00150250,0.00000000,-0.00174952,0.0000,11510.64269177
INJ,6,OkxSwap,HlPerp,0.45971813,-0.00177332,-0.00204787,-0.00157590,0.00000000,-0.00093365,41.7929,20683.78607843
SEI,6,OkxSwap,HlPerp,0.13312528,-0.00180496,-0.00193360,-0.00170140,0.00000000,-0.00156180,128.0463,9182.60748349
WIF,6,HlPerp,OkxSwap,0.05721248,-0.00185126,-0.00225118,-0.00165569,0.00000000,-0.00174676,297.5712,12289.77838927
ZRO,3,OkxSwap,HlPerp,0.00000000,-0.00191401,-0.00219836,-0.00168276,0.00000000,-0.00191401,0.0000,24407.42678647
LAYER,6,OkxSwap,HlPerp,0.26683939,-0.00201818,-0.00251257,-0.00157236,0.00000000,-0.00153080,74.1693,1715.45434727
BIO,6,OkxSwap,HlPerp,0.26790002,-0.00202468,-0.00228252,-0.00175446,0.00000000,-0.00153536,75.0052,5817.24620817
PUMP,2,OkxSwap,HlPerp,0.00000000,-0.00203482,-0.00203505,-0.00203459,0.00000000,-0.00203482,0.0000,32827.63212728
ZEN,5,HlPerp,OkxSwap,0.35783706,-0.00203835,-0.00220559,-0.00174858,0.00000000,-0.00138477,57.9969,3059.17632198
BABY,6,HlPerp,OkxSwap,1.37613752,-0.00204432,-0.00232840,-0.00158381,0.00000000,0.00046917,21.0486,18227.15298962
DOT,5,OkxSwap,HlPerp,0.27670295,-0.00211395,-0.00260023,-0.00177858,0.00000000,-0.00160856,74.9837,8770.76706437
CFX,6,OkxSwap,HlPerp,0.25494659,-0.00212585,-0.00273462,-0.00170821,0.00000000,-0.00166020,81.0507,4959.64737040
EIGEN,2,OkxSwap,HlPerp,0.28131297,-0.00212688,-0.00212883,-0.00212493,0.00000000,-0.00161307,74.2373,8212.14611689
MEGA,6,OkxSwap,HlPerp,0.45472407,-0.00222512,-0.00283816,-0.00196537,0.00000000,-0.00139457,50.8304,9735.91110868
CC,6,OkxSwap,HlPerp,0.20014425,-0.00229293,-0.00271364,-0.00209628,0.00000000,-0.00192737,110.5101,35523.29506873
JUP,6,OkxSwap,HlPerp,0.22435002,-0.00229322,-0.00261152,-0.00199121,0.00000000,-0.00188345,97.7744,10931.94285637
YGG,6,OkxSwap,HlPerp,0.00000000,-0.00230308,-0.00282871,-0.00164832,0.00000000,-0.00230308,0.0000,1724.74316812
S,6,OkxSwap,HlPerp,0.32177904,-0.00230460,-0.00374388,-0.00144685,0.00000000,-0.00171688,71.2438,1602.60543083
ANIME,6,OkxSwap,HlPerp,0.06527618,-0.00232628,-0.00260522,-0.00226790,0.00000000,-0.00220705,320.5544,2260.27189656
