source,action,asset,long_venue,short_venue,annualized_edge,net_8h_proxy,net_24h_proxy,liquidity_proxy,friction_proxy,reason
okx_hl_current,blocked_by_cost_or_capacity,SNX,HlPerp,OkxSwap,1.29573540,-0.00139870,0.00096794,2508.75349153,0.00258202,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,AIXBT,HlPerp,OkxSwap,1.17147830,-0.00184846,0.00029123,2485.46112886,0.00291830,OKX and Hyperliquid context available
predicted_cross_venue,thin_or_wide_watch,UMA,HlPerp,BinPerp,1.05767802,,,71661.03107400,0.00213231,Hyperliquid context available
hl_single_venue,thin_or_wide_watch,UMA,HlPerp,cash_or_spot_proxy,0.95608655,,,71661.03107400,0.00208152,long_perp_receives_funding
okx_hl_current,blocked_by_cost_or_capacity,UMA,HlPerp,OkxSwap,0.93690721,-0.00209310,-0.00038185,716.61031074,0.00294872,low Hyperliquid day volume
predicted_cross_venue,thin_or_wide_watch,ZEC,BybitPerp,BinPerp,0.88126695,,,0.00000000,0.00000000,Hyperliquid not involved; external venue feasibility still unknown
predicted_cross_venue,thin_or_wide_watch,INIT,BybitPerp,BinPerp,0.83666760,,,0.00000000,0.00000000,Hyperliquid not involved; external venue feasibility still unknown
predicted_cross_venue,thin_or_wide_watch,MOVE,HlPerp,BinPerp,0.79251720,,,79295.99791900,0.00265048,Hyperliquid context available
predicted_cross_venue,thin_or_wide_watch,IOTA,BybitPerp,HlPerp,0.64299539,,,90701.90411400,0.00533683,Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,0G,HlPerp,OkxSwap,0.62716432,-0.00125980,-0.00011429,1625.65148370,0.00183255,OKX and Hyperliquid context available
predicted_cross_venue,thin_or_wide_watch,TURBO,HlPerp,BinPerp,0.56856692,,,92748.75324700,0.00231750,Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,TURBO,HlPerp,OkxSwap,0.55870492,-0.00238923,-0.00136876,927.31121527,0.00289946,low Hyperliquid day volume
okx_hl_current,blocked_by_cost_or_capacity,POPCAT,HlPerp,OkxSwap,0.55186924,-0.00210331,-0.00109533,4618.73856343,0.00260730,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,ZORA,HlPerp,OkxSwap,0.54597542,-0.00339680,-0.00239958,1709.14319160,0.00389541,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,BABY,OkxSwap,HlPerp,0.53017042,-0.00262714,-0.00165879,17496.89578398,0.00311131,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,W,HlPerp,OkxSwap,0.51391478,-0.00578665,-0.00484799,2824.85515140,0.00625597,wide Hyperliquid impact spread
okx_hl_current,blocked_by_cost_or_capacity,S,HlPerp,OkxSwap,0.50397786,-0.00173567,-0.00081516,1493.85693174,0.00219592,OKX and Hyperliquid context available
predicted_cross_venue,thin_or_wide_watch,JTO,BinPerp,BybitPerp,0.50212320,,,0.00000000,0.00000000,Hyperliquid not involved; external venue feasibility still unknown
okx_hl_current,blocked_by_cost_or_capacity,MORPHO,HlPerp,OkxSwap,0.48404984,-0.00134767,-0.00046356,8012.51569370,0.00178973,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,MERL,HlPerp,OkxSwap,0.47659306,-0.00310203,-0.00223154,2399.20307470,0.00353727,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,BIO,HlPerp,OkxSwap,0.47115191,-0.00140988,-0.00054932,6306.08891429,0.00184015,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,VIRTUAL,OkxSwap,HlPerp,0.46365252,-0.00093638,-0.00008952,12057.99365451,0.00135980,OKX and Hyperliquid context available
okx_hl_current,blocked_by_cost_or_capacity,RSR,HlPerp,OkxSwap,0.43928772,-0.00695636,-0.00615401,293.73819276,0.00735754,low Hyperliquid day volume; wide Hyperliquid impact spread
